Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Devonport (C)",3,0,19,0,9,5,126,145,4,10,0,0,3,8,4,13,13,19,14,7,5,408,808,
"Dorset (M)",14,0,0,0,0,0,22,20,6,0,0,0,4,3,6,3,0,3,4,4,3,125,235,
"Flinders (M)",4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,38,
"George Town (M)",4,0,3,0,0,0,16,20,0,0,0,0,0,6,0,3,0,0,0,0,0,139,202,
"Glamorgan/Spring Bay (M)",3,0,0,0,3,0,14,10,0,0,0,0,0,5,0,0,4,0,0,0,0,70,110,
"Glenorchy (C)",4,0,20,0,6,3,190,225,14,11,0,3,19,13,9,30,20,28,18,22,5,877,1518,
"Hobart (C)",7,0,26,0,9,4,190,342,10,11,0,3,29,19,11,74,39,55,17,22,3,1096,1964,
"Huon Valley (M)",19,0,18,0,9,5,49,43,3,3,0,3,13,5,0,7,5,13,5,9,8,416,626,
"Kentish (M)",14,0,5,0,3,0,22,27,4,0,0,0,0,5,0,0,6,3,4,5,0,129,230,
"King Island (M)",4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,
"Kingborough (M)",8,0,40,0,8,13,165,236,0,0,0,0,29,15,7,55,26,42,17,17,3,722,1417,
"Latrobe (M)",7,0,15,0,3,6,55,23,0,0,0,0,0,0,0,0,7,10,5,8,13,195,337,
"Launceston (C)",5,0,35,0,5,14,256,391,10,6,3,5,29,20,10,58,51,43,24,25,12,1264,2272,
"Meander Valley (M)",33,0,16,0,4,8,81,104,7,4,0,4,13,5,7,15,13,10,6,13,0,378,707,
"Northern Midlands (M)",15,0,15,0,4,0,46,41,3,0,0,0,6,12,4,4,10,0,3,10,0,238,428,
"Sorell (M)",6,0,9,0,8,4,57,66,3,3,0,3,6,8,3,6,10,3,3,0,5,233,426,
"Southern Midlands (M)",24,0,7,0,4,3,24,18,0,0,0,0,0,0,0,4,8,3,0,4,0,116,213,
"Tasman (M)",3,0,0,0,0,0,4,6,0,0,0,0,0,3,0,0,0,0,0,3,0,38,57,
"Waratah/Wynyard (M)",21,0,7,0,3,3,80,43,0,0,0,4,5,11,0,4,9,0,10,5,9,257,474,
"West Coast (M)",0,0,0,0,0,0,18,15,0,0,0,4,0,0,0,0,0,0,0,0,0,71,116,
"West Tamar (M)",11,0,20,0,9,10,95,137,4,8,0,4,15,11,3,7,22,19,13,8,10,448,844,
"No usual address (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,35,36,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",294,3,360,3,106,101,2170,2586,105,74,20,41,226,211,65,384,333,332,214,200,114,9752,17695,


" $150-$299 ($7,800-$15,599)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",14,0,12,0,3,0,20,26,8,5,3,4,7,7,3,4,4,4,9,3,4,493,641,
"Brighton (M)",4,0,13,0,19,4,59,52,6,4,0,0,3,13,3,15,29,10,16,7,0,816,1083,
