Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Cowra (A)",13,0,0,0,0,0,3,5,0,0,0,0,4,3,0,0,0,0,3,0,5,574,611,
"Cumberland (A)",0,0,29,4,61,6,65,67,21,6,3,11,23,27,12,22,33,6,18,47,73,23891,24430,
"Dungog (A)",9,0,4,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,5,0,522,549,
"Edward River (A)",21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,0,373,410,
"Eurobodalla (A)",4,0,6,0,6,0,13,12,3,0,0,3,5,4,0,7,5,4,9,11,5,1537,1628,
"Fairfield (C)",6,0,29,0,43,12,71,83,14,0,13,3,8,19,0,23,29,10,23,46,51,20989,21469,
"Federation (A)",9,0,0,0,6,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,4,532,572,
"Forbes (A)",22,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,3,469,508,
"Georges River (A)",0,0,10,4,28,3,43,73,8,0,11,8,16,17,11,20,17,6,20,30,30,16376,16728,
"Gilgandra (A)",7,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,190,202,
"Glen Innes Severn (A)",18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,334,370,
"Goulburn Mulwaree (A)",11,0,5,0,8,0,16,19,4,0,0,0,0,0,0,0,5,0,0,3,13,1498,1582,
"Greater Hume Shire (A)",23,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,510,554,
"Griffith (C)",12,0,0,0,0,0,9,5,0,0,0,0,0,0,4,0,5,0,0,0,8,1302,1351,
"Gundagai (A)",12,0,0,0,0,4,5,3,0,0,0,0,4,0,0,0,0,0,5,0,3,479,510,
"Gunnedah (A)",14,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,4,4,537,578,
"Gwydir (A)",38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,272,
"Hawkesbury (C)",9,0,13,0,23,3,12,21,3,0,0,0,8,7,8,0,6,9,5,13,7,3956,4121,
"Hay (A)",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,160,
"Hilltops (A)",27,0,0,0,0,0,9,4,3,0,0,0,5,0,0,0,0,0,0,6,6,865,924,
"Hornsby (A)",4,0,16,0,27,14,45,47,7,3,13,7,43,9,9,26,20,12,20,26,23,12539,12903,
"Hunters Hill (A)",0,0,0,0,3,3,0,6,4,0,0,0,4,0,0,4,5,0,0,6,4,1287,1326,
"Inner West (A)",7,0,14,0,9,8,44,46,3,8,8,11,38,21,10,24,23,17,30,32,25,10774,11151,
"Inverell (A)",28,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,3,5,735,794,
"Junee (A)",7,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,6,0,248,267,
"Kempsey (A)",8,0,3,0,10,0,7,13,0,0,0,0,8,3,0,5,0,3,4,3,6,1247,1315,
"Kiama (A)",7,0,0,0,0,0,7,11,0,0,0,0,4,0,0,5,0,0,0,6,4,1174,1223,
"Ku-ring-gai (A)",7,0,11,0,20,6,54,44,3,7,18,18,46,9,4,28,24,7,3,49,24,11438,11806,
"Kyogle (A)",11,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,3,0,0,0,4,435,467,
"Lachlan (A)",15,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,254,281,
"Lake Macquarie (C)",5,3,23,3,43,9,61,60,11,0,7,11,19,16,9,20,24,11,27,25,22,11253,11650,
"Lane Cove (A)",0,0,0,0,0,0,4,11,10,3,10,4,7,0,0,7,6,0,4,12,5,2620,2704,
"Leeton (A)",12,0,0,0,4,0,3,7,0,0,0,0,0,0,0,3,0,0,0,3,0,701,740,
"Lismore (C)",20,0,7,0,5,0,14,5,0,0,0,0,8,4,0,0,0,5,0,3,9,1986,2063,
"Lithgow (C)",8,0,0,0,4,0,6,8,0,0,0,0,4,3,0,0,3,0,3,8,3,1125,1183,
"Liverpool (C)",11,0,31,0,41,8,64,67,12,8,6,9,12,23,11,18,24,16,18,47,53,18724,19210,
"Liverpool Plains (A)",11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,376,403,
"Lockhart (A)",4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,127,141,
"Maitland (C)",7,5,6,0,11,3,22,25,4,0,0,3,7,3,6,4,6,0,18,21,14,4409,4590,
"Mid-Coast (A)",28,0,9,0,18,0,31,44,8,0,0,0,12,7,4,3,20,3,8,12,19,4427,4645,
"Mid-Western Regional (A)",19,6,9,0,0,0,12,15,0,0,0,0,0,3,4,0,6,0,10,3,3,1235,1323,
"Moree Plains (A)",34,0,0,0,0,0,7,4,0,0,0,0,0,0,0,6,0,0,0,3,0,511,564,
"Mosman (A)",0,0,3,0,0,0,11,7,0,4,3,0,17,0,0,3,5,0,8,16,7,2040,2127,
"Murray River (A)",32,0,3,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,4,3,504,559,
"Murrumbidgee (A)",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,193,
