"Taxation statistics 2015–16 Companies: Key items, by industry code, 2015-16 income year1",,,,,,,,,
,,,,,,,,,
Industry code,Business description,Number of companies,Total income no.,Total income $,Total expenses no.,Total expenses $,Taxable income or loss no.,Taxable income or loss $,
17010,Petroleum Refining and Petroleum Fuel Manufacturing,52,39,"17,361,539,765",48,"17,292,415,762",44,"4,749,122",
17090,Other Petroleum and Coal Product Manufacturing,66,58,"789,484,425",63,"671,706,504",53,"49,545,999",
18110,Industrial Gas Manufacturing,26,20,"2,264,995,542",25,"2,009,689,199",23,"239,054,666",
18120,Basic Organic Chemical Manufacturing,236,214,"2,981,817,507",226,"2,903,851,671",189,"125,117,641",
18130,Basic Inorganic Chemical Manufacturing,53,47,"4,771,935,199",50,"4,471,545,044",44,"130,023,262",
18210,Synthetic Resin and Synthetic Rubber Manufacturing,24,24,"38,201,436",24,"36,189,979",19,"2,738,665",
18290,Other Basic Polymer Manufacturing,160,148,"934,165,812",153,"886,415,562",129,"59,647,423",
18310,Fertiliser Manufacturing,144,126,"3,055,741,030",137,"2,774,434,760",112,"251,229,424",
18320,Pesticide Manufacturing,34,32,"1,174,961,631",33,"1,079,420,610",28,"-2,523,012",
18410,Human Pharmaceutical and Medicinal Product Manufacturing,353,295,"12,150,101,493",332,"10,601,133,877",280,"868,702,175",
18420,Veterinary Pharmaceutical and Medicinal Product Manufacturing,107,96,"759,600,701",105,"699,461,374",93,"99,177,035",
18510,Cleaning Compound Manufacturing,211,199,"1,524,672,959",209,"1,379,315,623",166,"288,794,044",
18520,Cosmetic and Toiletry Preparation Manufacturing,366,330,"1,393,213,222",356,"1,307,325,539",291,"103,072,976",
18910,Photographic Chemical Product Manufacturing,19,17,"19,116,354",18,"20,091,041",16,"-171,621",
18920,Explosive Manufacturing,29,23,"414,663,921",27,"352,904,073",23,"66,867,375",
18990,Other Basic Chemical Product Manufacturing n.e.c.,277,255,"2,838,566,197",266,"2,728,712,831",233,"120,545,927",
19110,Polymer Film and Sheet Packaging Material Manufacturing,112,105,"1,340,704,263",107,"1,309,746,977",94,"44,682,603",
19120,Rigid and Semi-Rigid Polymer Product Manufacturing,552,510,"3,086,813,679",535,"2,908,372,377",432,"204,119,192",
19130,Polymer Foam Product Manufacturing,91,83,"619,415,824",86,"610,910,272",71,"12,779,086",
19140,Tyre Manufacturing,164,156,"297,741,681",161,"292,106,835",137,"8,351,281",
19150,Adhesive Manufacturing,40,39,"416,380,458",39,"380,968,187",31,"46,326,733",
19160,Paint and Coatings Manufacturing,193,184,"3,542,612,246",186,"3,223,676,691",158,"253,159,612",
19190,Other Polymer Product Manufacturing,197,182,"396,921,388",190,"382,371,841",152,"19,718,517",
19200,Natural Rubber Product Manufacturing,177,171,"953,145,992",176,"968,406,045",153,"26,076,774",
20100,Glass and Glass Product Manufacturing,581,557,"1,947,975,686",565,"1,828,326,943",455,"67,507,005",
20210,Clay Brick Manufacturing,32,30,"936,990,653",30,"827,792,001",25,"157,004,795",
20290,Other Ceramic Product Manufacturing,265,241,"624,047,394",256,"570,298,385",212,"44,072,403",
20310,Cement and Lime Manufacturing,44,41,"7,348,655,773",42,"6,743,878,019",36,"894,731,708",
20320,Plaster Product Manufacturing,129,116,"3,894,229,702",120,"3,615,217,111",105,"135,969,565",
20330,Ready-Mixed Concrete Manufacturing,493,468,"2,697,278,273",476,"2,798,846,222",408,"-6,071,657",
20340,Concrete Product Manufacturing,668,614,"4,506,101,223",642,"4,029,189,612",549,"105,145,919",
20900,Other Non-Metallic Mineral Product Manufacturing,359,343,"796,570,113",352,"768,926,277",280,"34,330,800",
21100,Iron Smelting and Steel Manufacturing,575,548,"12,548,565,889",566,"13,060,730,764",477,"-14,000,945",
21210,Iron and Steel Casting,69,65,"2,187,239,553",65,"1,063,536,995",55,"58,948,854",
21220,Steel Pipe and Tube Manufacturing,156,149,"924,118,429",148,"904,045,804",132,"-24,357,108",
21310,Alumina Production,15,14,"3,148,284,463",15,"2,922,575,625",14,"115,468,380",
