            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Total Income, 2011-16 Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,,,,
12850,Fairfield (C)," 82,277 "," 82,858 "," 83,254 "," 84,374 "," 87,001 "," 89,159 ", 40 , 40 , 41 , 41 , 41 , 40 ," 3,400,000,000 "," 3,580,000,000 "," 3,730,000,000 "," 3,870,000,000 "," 4,110,000,000 "," 4,320,000,000 "," 36,909 "," 38,431 "," 39,932 "," 40,529 "," 41,466 "," 42,326 "," 41,375 "," 43,249 "," 44,850 "," 45,882 "," 47,282 "," 48,417 ",,,,
12870,Federation (A)," 6,842 "," 6,870 "," 6,903 "," 7,001 "," 7,037 "," 6,796 ", 48 , 48 , 48 , 48 , 49 , 48 ," 294,000,000 "," 293,000,000 "," 314,000,000 "," 326,000,000 "," 345,000,000 "," 331,000,000 "," 35,995 "," 36,826 "," 37,650 "," 38,901 "," 40,695 "," 40,706 "," 42,914 "," 42,717 "," 45,518 "," 46,515 "," 48,996 "," 48,741 ",,,,
12900,Forbes (A)," 4,562 "," 4,590 "," 4,618 "," 4,711 "," 4,784 "," 4,832 ", 46 , 46 , 46 , 45 , 46 , 45 ," 189,000,000 "," 195,000,000 "," 206,000,000 "," 228,000,000 "," 240,000,000 "," 248,000,000 "," 34,071 "," 36,546 "," 37,997 "," 40,389 "," 41,479 "," 42,941 "," 41,522 "," 42,416 "," 44,608 "," 48,500 "," 50,226 "," 51,290 ",,,,
12930,Georges River (A)," 78,540 "," 79,212 "," 79,933 "," 82,052 "," 85,151 "," 87,607 ", 42 , 42 , 42 , 42 , 42 , 41 ," 4,120,000,000 "," 4,320,000,000 "," 4,510,000,000 "," 4,740,000,000 "," 5,000,000,000 "," 5,250,000,000 "," 40,368 "," 42,070 "," 43,576 "," 44,472 "," 45,252 "," 46,033 "," 52,410 "," 54,517 "," 56,374 "," 57,775 "," 58,739 "," 59,893 ",,,,
12950,Gilgandra (A)," 2,108 "," 2,127 "," 2,075 "," 2,060 "," 2,128 "," 2,118 ", 46 , 46 , 47 , 48 , 47 , 48 ," 83,967,404 "," 78,444,326 "," 81,362,067 "," 78,986,921 "," 92,851,856 "," 95,869,838 "," 34,311 "," 32,714 "," 33,858 "," 34,010 "," 36,494 "," 39,430 "," 39,833 "," 36,880 "," 39,211 "," 38,343 "," 43,633 "," 45,264 ",,,,
13010,Glen Innes Severn (A)," 4,318 "," 4,261 "," 4,235 "," 4,252 "," 4,236 "," 4,153 ", 48 , 48 , 49 , 50 , 50 , 49 ," 145,000,000 "," 155,000,000 "," 146,000,000 "," 151,000,000 "," 157,000,000 "," 171,000,000 "," 28,464 "," 31,231 "," 29,633 "," 29,826 "," 31,261 "," 34,058 "," 33,630 "," 36,318 "," 34,591 "," 35,628 "," 37,105 "," 41,161 ",,,,
13310,Goulburn Mulwaree (A)," 14,264 "," 14,583 "," 14,575 "," 14,803 "," 15,152 "," 15,600 ", 44 , 45 , 45 , 45 , 45 , 45 ," 653,000,000 "," 692,000,000 "," 721,000,000 "," 746,000,000 "," 797,000,000 "," 843,000,000 "," 39,217 "," 40,803 "," 42,439 "," 43,062 "," 44,272 "," 46,054 "," 45,767 "," 47,482 "," 49,476 "," 50,383 "," 52,579 "," 54,015 ",,,,
13340,Greater Hume Shire (A)," 5,529 "," 5,584 "," 5,612 "," 5,728 "," 5,784 "," 5,634 ", 47 , 48 , 48 , 48 , 48 , 48 ," 237,000,000 "," 245,000,000 "," 250,000,000 "," 264,000,000 "," 291,000,000 "," 288,000,000 "," 35,844 "," 36,583 "," 37,887 "," 38,815 "," 41,172 "," 42,112 "," 42,863 "," 43,817 "," 44,627 "," 46,028 "," 50,249 "," 51,122 ",,,,
13450,Griffith (C)," 13,897 "," 13,960 "," 14,129 "," 14,159 "," 14,563 "," 14,896 ", 41 , 42 , 42 , 42 , 42 , 41 ," 597,000,000 "," 623,000,000 "," 661,000,000 "," 689,000,000 "," 734,000,000 "," 767,000,000 "," 36,538 "," 37,943 "," 40,120 "," 41,551 "," 42,969 "," 43,867 "," 42,991 "," 44,597 "," 46,780 "," 48,643 "," 50,382 "," 51,511 ",,,,
13510,Gundagai (A)," 5,816 "," 5,836 "," 5,704 "," 5,654 "," 5,835 "," 5,778 ", 47 , 47 , 47 , 47 , 47 , 47 ," 250,000,000 "," 259,000,000 "," 257,000,000 "," 269,000,000 "," 293,000,000 "," 293,000,000 "," 36,164 "," 36,984 "," 38,096 "," 39,306 "," 41,443 "," 41,720 "," 42,935 "," 44,397 "," 44,972 "," 47,525 "," 50,129 "," 50,641 ",,,,
