Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"West Arthur (S)",30,10,4,16,11,16,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,375,473,
"Westonia (S)",9,4,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,131,
"Wickepin (S)",12,16,0,7,0,8,0,0,8,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,335,397,
"Williams (S)",30,0,3,6,12,12,0,0,0,13,4,5,0,0,0,0,0,5,0,0,0,0,0,7,361,463,
"Wiluna (S)",34,9,4,14,9,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,154,243,
"Wongan-Ballidu (S)",35,7,11,27,11,10,13,25,5,13,3,3,0,0,4,0,0,0,0,0,0,0,0,9,575,761,
"Woodanilling (S)",14,4,0,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,168,204,
"Wyalkatchem (S)",8,0,0,6,10,13,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,318,
"Wyndham-East Kimberley (S)",136,90,77,121,92,110,77,98,36,69,30,50,19,42,23,80,13,122,64,34,21,12,17,123,2595,4149,
"Yalgoo (S)",5,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,102,
"Yilgarn (S)",36,15,4,14,8,14,13,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,559,699,
"York (S)",33,9,11,20,8,16,8,22,12,31,21,47,8,15,13,8,0,0,0,0,0,0,0,14,1637,1928,
"Migratory - Offshore - Shipping (WA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,154,
"Total",11037,5982,3586,11648,5358,8904,5535,9391,5294,12150,9062,21768,11854,24338,15170,23055,7807,29817,10009,4350,2380,1236,2534,9237,822229,1073719,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
