Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Warren (A)",55,9,12,39,34,40,26,30,9,13,0,4,0,0,0,0,0,0,0,0,0,0,0,18,1022,1335,
"Warrumbungle Shire (A)",125,39,29,90,75,138,125,134,33,46,5,14,0,7,0,5,0,5,4,3,0,0,4,53,3870,4791,
"Waverley (A)",258,35,29,225,38,85,54,87,54,78,81,198,98,251,228,403,223,1685,2133,1854,1251,790,1657,345,19419,31561,
"Weddin (A)",51,30,8,47,21,30,22,46,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1580,1872,
"Wentworth (A)",62,50,15,46,58,84,81,68,22,34,11,9,9,15,3,5,0,0,0,3,0,0,4,26,2667,3295,
"Western Plains Regional (A)",163,102,76,321,210,382,362,529,343,558,383,633,252,380,176,190,44,113,18,5,4,7,15,202,15727,21194,
"Willoughby (C)",287,36,26,161,43,87,45,90,34,68,51,117,61,106,103,290,180,1990,2229,1182,825,519,1045,322,20122,30015,
"Wingecarribee (A)",202,22,17,57,32,172,89,206,91,194,136,279,182,294,202,286,122,478,206,64,39,9,40,147,18124,21681,
"Wollondilly (A)",136,13,15,26,21,93,64,102,38,100,75,189,84,214,194,229,65,334,146,58,20,4,11,93,14471,16780,
"Wollongong (C)",467,329,280,1948,561,956,731,1122,650,1282,848,1802,1140,1934,1120,1658,697,2679,1006,369,131,63,67,711,61486,84057,
"Woollahra (A)",278,15,9,47,17,30,17,61,28,50,47,145,123,193,141,208,118,905,1260,1081,725,522,1751,231,18279,26285,
"Yass Valley (A)",108,16,20,21,16,37,33,48,30,73,66,126,46,105,27,49,20,71,32,7,4,0,4,50,5501,6525,
"Unincorporated NSW",26,12,0,8,5,3,0,5,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,18,511,613,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,
"Total",24979,9133,7892,38640,14327,30126,21200,34350,20365,36453,25888,49865,28761,53252,36337,58147,27256,122774,73589,41726,21999,12382,22361,27719,2227459,3066981,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
