Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Toodyay (S)",6,41,17,57,47,146,94,146,123,130,123,84,90,159,105,39,55,19,19,14,16,4,204,47,592,2370,
"Trayning (S)",0,0,4,5,12,15,6,8,18,10,9,12,9,5,4,0,5,0,0,0,0,0,13,5,79,217,
"Upper Gascoyne (S)",0,0,3,3,0,4,10,11,9,11,10,4,5,13,5,0,0,0,0,0,5,0,13,12,35,148,
"Victoria Park (T)",37,248,128,316,426,905,580,731,799,998,855,784,754,1519,856,622,769,276,272,255,194,25,1093,305,3196,16949,
"Victoria Plains (S)",0,4,3,7,14,28,17,33,21,26,32,10,28,38,10,19,10,0,7,0,3,0,30,15,124,476,
"Vincent (C)",32,204,96,270,365,657,421,553,614,766,745,705,675,1651,879,712,983,433,530,481,443,20,1125,228,3234,16841,
"Wagin (S)",3,3,8,31,22,92,40,71,65,64,46,42,38,65,28,12,12,6,5,5,3,0,59,21,209,948,
"Wandering (S)",0,0,0,0,5,12,5,12,9,12,11,17,17,9,10,5,7,6,6,0,0,0,13,12,51,227,
"Wanneroo (C)",135,626,363,969,1110,2784,2177,3496,3402,4511,4497,4050,3926,8142,5090,3216,2354,1234,1020,787,453,60,6296,1150,8511,70352,
"Waroona (S)",0,25,16,31,44,131,66,122,99,95,90,65,73,125,92,52,45,19,23,11,14,3,174,66,578,2058,
"West Arthur (S)",0,0,3,11,11,32,18,30,27,32,32,20,23,26,12,6,11,0,3,0,4,0,21,14,131,473,
"Westonia (S)",0,3,0,0,0,5,7,8,11,0,6,0,8,17,8,0,4,0,0,0,4,0,5,0,39,131,
"Wickepin (S)",0,3,3,4,15,20,15,33,16,24,27,22,13,21,11,10,0,0,4,3,0,0,19,15,118,397,
"Williams (S)",0,0,0,8,12,17,12,24,27,33,27,16,23,36,26,19,16,0,3,4,4,0,35,12,103,463,
"Wiluna (S)",0,0,5,5,4,9,7,14,13,14,9,17,7,4,0,0,10,3,0,0,0,0,6,19,83,243,
"Wongan-Ballidu (S)",0,10,12,11,16,46,25,51,39,46,54,38,32,43,25,11,10,9,3,0,6,0,48,24,186,761,
"Woodanilling (S)",0,0,0,4,0,17,12,16,11,13,10,8,10,12,3,5,4,0,0,0,3,0,14,4,44,204,
"Wyalkatchem (S)",4,3,3,3,12,31,20,21,19,13,14,8,11,16,14,0,4,3,3,0,0,0,15,0,105,318,
"Wyndham-East Kimberley (S)",14,42,30,69,62,135,105,186,215,233,225,165,181,340,228,168,112,47,76,46,33,12,241,309,880,4149,
