"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",,,,,,,,,,,,,,,,,,mean,mean,mean,mean,mean,,,,,,102%,,,,,,,,,,,,,,,
Notes,,,,,,,,,,Adjusted Count (to make it all numeric),,,85%,15%,"792,777,873,465",," 1,232 ",9100,27600,58500,130000,230000,total,total,total,total,total,"806,815,476,512",diff,,,pro-rata per person rates,,,,,new total,,,,,,
State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total,,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Taxable income or loss3 $ (from 6B),1239, Multiplier ,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Sum,for goal seek,1232,,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more",Sum,
NSW,2010,"3,364","3,714","6,624","5,324","1,612",na,"20,638",,"3,364","3,714","6,624","5,324","1,612","1,724,263,498", 1.088733 , 1.088733 ,9907.4703,30049.0308,63690.8805,141535.29,250408.59,"33,328,730","111,602,100","421,888,392","753,533,884","403,658,647","1,724,262,162","1,336",1.088733,"if range(""R34"")=1 then Range(""AD34"").GoalSeek goal:=0, changingcell:=Range(""R34"")",9907.47795,30049.05398,63690.92978,141535.3997,250408.784,"33,328,756","111,602,186","421,888,719","753,534,468","403,658,960","1,724,263,498",0
NSW,2011,"2,682","2,583","4,814","3,883","1,326",na,"15,288",,"2,682","2,583","4,814","3,883","1,326","1,387,252,761", 1.168393 , 1.168393 ,10632.3763,32247.6468,68350.9905,151891.09,268730.39,"28,516,033","83,295,672","329,041,668","589,793,102","356,336,497","1,387,251,702","1,059",1.168393,"if range(""R35"")=1 then Range(""AD35"").GoalSeek goal:=0, changingcell:=Range(""R35"")",10632.38433,32247.67154,68351.04262,151891.2058,268730.595,"28,516,055","83,295,736","329,041,919","589,793,552","356,336,769","1,387,252,762",1
NSW,2015,845,"1,157","2,797","2,237",408,na,"7,444",,845,"1,157","2,797","2,237",408,"569,133,643", 0.967706 , 0.967706 ,8806.1246,26708.6856,56610.801,125801.78,222572.38,"7,441,175","30,901,949","158,340,410","281,418,582","90,809,531","569,134,219",-576,0.967706,"if range(""R36"")=1 then Range(""AD36"").GoalSeek goal:=0, changingcell:=Range(""R36"")",8806.115348,26708.65836,56610.74356,125801.6527,222572.1546,"7,441,167","30,901,918","158,340,250","281,418,297","90,809,439","569,133,643",0
NSW,2016,"1,304","1,639","3,138","2,246",391,na,"8,718",,"1,304","1,639","3,138","2,246",391,"614,023,894", 1.000000 , 1.000000 ,9100,27600,58500,130000,230000,"11,866,400","45,236,400","183,573,000","291,980,000","89,930,000","622,815,800","-8,791,906",1,"if range(""R37"")=1 then Range(""AD37"").GoalSeek goal:=0, changingcell:=Range(""R37"")",8971.54092,27210.38785,57674.19163,128164.8703,226753.232,"11,698,889","44,597,826","180,981,613","287,858,299","88,660,514","614,023,894",0
NSW,2017,"2,329","2,473","5,175","3,577",471,na,"14,025",,"2,329","2,473","5,175","3,577",471,"918,770,811", 0.950000 , 0.950000 ,8645,26220,55575,123500,218500,"20,134,205","64,842,060","287,600,625","441,759,500","102,913,500","917,468,390","1,302,421",0.95,"if range(""R38"")=1 then Range(""AD38"").GoalSeek goal:=0, changingcell:=Range(""R38"")",8657.272281,26257.22142,55653.89323,123675.3183,218810.1785,"20,162,787","64,934,109","288,008,897","442,386,614","103,059,594","918,770,811",0
NSW,2018,"1,680","2,076","3,595","1,853",221,na,"9,425",,"1,680","2,076","3,595","1,853",221,"531,352,267", 0.924344 , 0.924344 ,8411.5304,25511.8944,54074.124,120164.72,212599.12,"14,131,371","52,962,693","194,396,476","222,665,226","46,984,406","531,352,771",-504,0.924344,"if range(""R39"")=1 then Range(""AD39"").GoalSeek goal:=0, changingcell:=Range(""R39"")",8411.522379,25511.87031,54074.07277,120164.6059,212598.9205,"14,131,358","52,962,643","194,396,292","222,665,015","46,984,361","531,352,268",1
NSW,2019,868,"1,266","2,661","1,613",170,na,"6,578",,868,"1,266","2,661","1,613",170,"414,637,139", 0.930000 , 0.930000 ,8463,25668,54405,120900,213900,"7,345,884","32,495,688","144,771,705","195,011,700","36,363,000","416,201,877","-1,564,738",0.93,"if range(""R40"")=1 then Range(""AD40"").GoalSeek goal:=0, changingcell:=Range(""R40"")",8431.182802,25571.49949,54200.46087,120445.4686,213095.8291,"7,318,267","32,373,518","144,227,426","194,278,541","36,226,291","414,637,139",0
NSW,2020,"1,598","2,051","3,984","2,028",195,na,"9,856",,"1,598","2,051","3,984","2,028",195,"569,350,475", 0.930000 , 0.930000 ,8463,25668,54405,120900,213900,"13,523,874","52,645,068","216,749,520","245,185,200","41,710,500","570,028,062","-677,587",0.93,"if range(""R41"")=1 then Range(""AD41"").GoalSeek goal:=0, changingcell:=Range(""R41"")",8452.940111,25637.48869,54340.32929,120756.2873,213645.7391,"13,507,798","52,582,489","216,491,872","244,893,751","41,660,919","569,350,475",0
NSW,2021,"1,416","1,734","3,323","2,907","1,607",na,"10,987",,"1,416","1,734","3,323","2,907","1,607","1,356,296,373", 1.350000 , 1.350000 ,12285,37260,78975,175500,310500,"17,395,560","64,608,840","262,433,925","510,178,500","498,973,500","1,353,900,825","2,395,548",1.35,"if range(""R42"")=1 then Range(""AD42"").GoalSeek goal:=0, changingcell:=Range(""R42"")",12306.73668,37325.92663,79114.73579,175810.524,311049.3886,"17,426,339","64,723,157","262,898,267","511,081,193","499,856,367","1,356,296,372",-1
NSW,2022,"1,614","1,820","2,723","2,047",874,na,"9,078",,"1,614","1,820","2,723","2,047",874,"777,291,072", 1.100000 , 1.100000 ,10010,30360,64350,143000,253000,"16,156,140","55,255,200","175,225,050","292,721,000","221,122,000","760,732,390","16,558,682",1.1,"if range(""R43"")=1 then Range(""AD43"").GoalSeek goal:=0, changingcell:=Range(""R43"")",10227.8853,31020.83894,65750.69123,146112.6472,258506.9912,"16,507,807","56,457,927","179,039,132","299,092,589","225,935,110","777,291,072",0
NSW,2023,"1,013","1,122","1,988","1,831","1,300",na,"7,254",,"1,013","1,122","1,988","1,831","1,300","1,308,705,833", 1.000000 , 1.880000 ,17108,51888,109980,244400,432400,"17,330,404","58,218,336","218,640,240","447,496,400","562,120,000","1,304,237,780","4,468,053",1.88,"if range(""R44"")=1 then Range(""AD44"").GoalSeek goal:=0, changingcell:=Range(""R44"")",17166.60852,52065.75772,110356.7691,245237.2646,433881.3143,"17,389,774","58,417,780","219,389,257","449,029,432","564,045,709","1,308,705,833",0
NSW,2024,"1,068","1,290","2,269","1,963",971,na,"7,561",,"1,068","1,290","2,269","1,963",971,"904,233,775", 1.400000 , 1.400000 ,12740,38640,81900,182000,322000,"13,606,320","49,845,600","185,831,100","357,266,000","312,662,000","919,533,020","-15,299,245",1.4,"if range(""R45"")=1 then Range(""AD45"").GoalSeek goal:=0, changingcell:=Range(""R45"")",12528.03112,37997.10539,80537.34294,178971.8732,316642.5449,"13,379,937","49,016,266","182,739,231","351,321,787","307,459,911","904,233,775",0
NSW,2025,815,843,"1,393","1,416",873,na,"5,340",,815,843,"1,393","1,416",873,"757,572,841", 1.500000 , 1.500000 ,13650,41400,87750,195000,345000,"11,124,750","34,900,200","122,235,750","276,120,000","301,185,000","745,910,700","11,662,141",1.5,"if range(""R46"")=1 then Range(""AD46"").GoalSeek goal:=0, changingcell:=Range(""R46"")",13863.41459,42047.27941,89121.95092,198048.7798,350393.9951,"11,298,683","35,445,857","124,146,878","280,437,072","305,893,958","757,572,842",1
NSW,2026,"4,253","4,472","7,483","6,058","2,135",na,"24,401",,"4,253","4,472","7,483","6,058","2,135","2,209,252,575", 1.170000 , 1.170000 ,10647,32292,68445,152100,269100,"45,281,691","144,409,824","512,173,935","921,421,800","574,528,500","2,198,084,850","11,167,725",1.17,"if range(""R47"")=1 then Range(""AD47"").GoalSeek goal:=0, changingcell:=Range(""R47"")",10701.0938,32456.06472,68792.74587,152872.7686,270467.206,"45,511,752","145,143,521","514,776,117","926,103,232","577,447,485","2,209,252,574",-1
