,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
57490,Rockingham (C),2011,"51,977",38,"2,911,049,557","46,715","56,006",83.5,"6,660",43,"167,086,279","14,096","25,088",6.4,"32,264",44,"90,659,595",129,"2,810",7.7,"1,971",57,"43,183,173","19,440","21,909",1.6,"56,481",40,"3,166,751,893","46,098","56,068",5.19,1.91,0.37,0.17,0.441,4.9,16.8,28.3,22,22.7,23.5,31.8,"2,695",74.7,"2,918","27,704","9,463",-,-,-,596,"2,933","1,807","1,942",-,763,360,-,-,-,-,-,-,-,-,-,838
57490,Rockingham (C),2012,"56,644",38,"3,459,461,505","50,372","61,074",84.7,"6,631",44,"175,694,359","14,889","26,496",5.9,"35,179",44,"103,135,321",126,"2,932",7.2,"1,950",57,"45,424,804","20,307","23,295",1.3,"60,343",40,"3,713,713,120","50,071","61,543",4.99,1.93,0.39,0.19,0.439,5,17,28.4,21.1,22.4,23.3,33.2,"2,012",57.7,"2,230","28,661","9,663",34,"1,080",224,647,"2,936","1,796","1,867",-,588,368,"8,187","8,010",-,-,-,-,-,-,-,-
57490,Rockingham (C),2013,"60,839",38,"3,963,734,776","53,411","65,151",85.3,"6,691",44,"179,432,422","14,395","26,817",5.7,"37,160",44,"121,373,015",105,"3,266",6.8,"1,960",57,"47,870,939","20,722","24,424",1.3,"63,445",40,"4,209,702,184","53,834","66,352",4.91,1.93,0.39,0.2,0.44,5.1,17.2,28.6,20.6,21.7,23.1,34.7,"2,338",59.6,"2,725","25,503","9,970",37,"1,031",212,699,"2,896","2,439","1,633",-,462,482,"8,038","8,126",-,-,-,-,-,-,-,-
57490,Rockingham (C),2014,"63,380",38,"4,243,943,868","54,917","66,960",85.3,"6,840",44,"188,106,495","14,345","27,501",5.7,"39,254",44,"132,414,448",88,"3,373",6.9,"2,000",58,"50,955,227","21,458","25,478",1.3,"65,972",40,"4,486,691,572","55,135","68,009",4.84,1.92,0.4,0.2,0.438,5.2,17.2,28.6,20.3,21.8,23.5,34.4,"2,761",83.1,"3,033","30,096","10,318",35,965,196,770,"2,888","2,809","1,782",-,484,549,"8,084","8,088",-,-,-,-,-,-,-,-
57490,Rockingham (C),2015,"66,319",38,"4,569,378,336","55,849","68,900",84.6,"7,165",43,"189,045,079","13,445","26,385",5.8,"42,068",44,"139,756,238",73,"3,322",7.4,"2,154",57,"57,494,875","21,623","26,692",1.4,"68,553",41,"4,761,800,089","55,602","69,462",4.9,1.93,0.39,0.2,0.444,5.3,17.7,29.2,20.5,21.9,23.6,33.9,"2,746",71.0,"3,000","25,862","10,810",32,931,194,830,"2,812","3,312","1,826",-,510,526,"8,248","8,242",-,-,-,-,-,-,-,-
57490,Rockingham (C),2016,"66,034",38,"4,524,237,255","55,682","68,514",84,"7,302",43,"168,539,977","12,237","23,081",5.8,"43,023",44,"120,612,685",52,"2,803",7.8,"2,288",57,"60,755,762","21,209","26,554",1.6,"68,729",41,"4,674,075,724","54,561","68,007",5.07,1.94,0.38,0.18,0.446,5.1,17.5,29.1,21.5,22.6,23.5,32.5,"2,351",56.1,"2,864","23,841","11,196",37,915,173,865,"2,684","4,075","1,880",-,518,555,"8,456","7,350",26,20.3,23.3,6.9,3,10.5,0.5,917
57490,Rockingham (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,377",36,838,161,940,"2,653","4,647","2,014",398,478,777,"8,677","7,434",-,-,-,-,-,-,-,-
57630,Sandstone (S),2011,46,50,"2,448,446","47,314","53,227",78.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,51,"2,343,446","45,618","48,822",-,-,-,-,-,-,-,-,10.9,32.6,37,19.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,462
57630,Sandstone (S),2012,49,51,"2,560,405","46,379","52,253",80.4,-,-,-,-,-,-,34,53,"218,125",540,"6,415",4.3,-,-,-,-,-,-,43,51,"2,092,958","48,348","48,673",-,-,-,-,-,-,-,-,23.9,19.6,32.6,23.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57630,Sandstone (S),2013,46,50,"2,794,772","48,107","60,756",77.6,-,-,-,-,-,-,30,52,"261,489",957,"8,716",8.2,-,-,-,-,-,-,46,52,"2,475,203","53,037","53,809",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57630,Sandstone (S),2014,41,49,"2,065,222","50,772","50,371",72.5,-,-,-,-,-,-,27,57,"188,994",637,"7,000",12.5,-,-,-,-,-,-,38,54,"1,734,368","52,253","45,641",-,-,-,-,-,-,-,-,35,12.5,27.5,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57630,Sandstone (S),2015,38,52,"2,103,432","46,614","55,353",70.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,53,"2,034,086","43,509","46,229",-,-,-,-,-,-,-,-,38.3,12.8,25.5,23.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57630,Sandstone (S),2016,36,54,"1,750,047","34,680","48,612",69,-,-,-,-,-,-,30,59,"262,753",269,"8,758",16.7,-,-,-,-,-,-,41,58,"1,971,679","33,964","48,090",-,-,-,-,-,-,-,-,33.3,23.8,14.3,28.6,-,-,-,-,17,-,-,-,-,7,-,-,-,-,-,-,-,32.6,18.6,22.1,-,-,5.8,-,774
57630,Sandstone (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57700,Serpentine-Jarrahdale (S),2011,"8,577",39,"473,827,526","46,350","55,244",76.4,"1,834",47,"41,336,988","13,706","22,539",9.5,"6,492",45,"56,781,396",275,"8,746",12.3,228,58,"5,706,038","16,863","25,026",0.9,"10,119",41,"571,326,494","46,561","56,461",4.94,1.84,0.37,0.16,0.454,6.1,18.4,29.7,21.7,22.5,24.5,31.3,584,18.5,"3,877","31,758","1,124",-,-,-,70,324,189,213,-,91,40,-,-,-,-,-,-,-,-,-,899
57700,Serpentine-Jarrahdale (S),2012,"9,498",38,"575,308,906","50,571","60,572",77.8,"1,831",47,"45,755,940","15,209","24,990",8.9,"7,031",45,"72,487,144",235,"10,310",11.7,232,58,"4,990,190","15,287","21,509",0.9,"10,927",41,"688,551,042","51,985","63,014",4.7,1.83,0.39,0.19,0.451,6.7,18.9,30,20.3,21.9,24.4,33.4,457,18.2,"3,638","39,846","1,206",-,88,13,72,330,200,247,-,83,34,"1,319","1,203",-,-,-,-,-,-,-,-
57700,Serpentine-Jarrahdale (S),2013,"10,650",38,"679,024,948","52,872","63,758",78.4,"1,929",47,"49,089,941","14,487","25,448",8.5,"7,704",44,"83,344,296",195,"10,818",11.4,231,58,"5,933,669","16,987","25,687",0.8,"12,014",41,"803,722,476","53,892","66,899",4.68,1.88,0.4,0.2,0.453,6.9,19.2,30.3,20,21.8,24.8,33.5,488,22.7,"4,481","46,511","1,281",-,86,15,77,317,337,226,-,73,62,"1,301","1,242",-,-,-,-,-,-,-,-
57700,Serpentine-Jarrahdale (S),2014,"11,589",38,"750,974,909","53,900","64,801",79.5,"1,996",47,"50,561,602","13,761","25,331",8,"8,344",44,"85,620,062",165,"10,261",10.9,246,57,"6,150,945","17,385","25,004",0.8,"12,925",41,"871,824,793","54,959","67,453",4.42,1.83,0.41,0.2,0.443,7,18.9,29.9,19.5,22.3,25,33.2,604,68.6,"3,956","113,626","1,358",-,89,15,88,312,363,236,-,68,53,"1,327","1,284",-,-,-,-,-,-,-,-
57700,Serpentine-Jarrahdale (S),2015,"13,007",37,"858,268,182","54,866","65,985",79.2,"2,221",46,"56,442,115","13,988","25,413",8.4,"9,287",43,"76,849,516",114,"8,275",10.9,243,57,"6,428,942","18,774","26,457",0.8,"14,191",40,"959,396,426","55,768","67,606",4.41,1.82,0.41,0.2,0.436,5.8,17.9,29,19.5,22.7,25.3,32.6,626,97.8,"4,521","156,250","1,469",-,86,17,110,299,431,244,-,73,61,"1,440","1,380",-,-,-,-,-,-,-,-
57700,Serpentine-Jarrahdale (S),2016,"13,976",37,"924,354,158","55,839","66,139",79.7,"2,310",46,"55,233,771","12,401","23,911",8,"9,909",42,"78,403,924",78,"7,912",10.7,318,57,"10,282,345","18,575","32,334",0.9,"15,295",39,"1,024,948,217","55,267","67,012",4.53,1.81,0.4,0.19,0.439,6.3,18.3,29.4,20.4,22.5,26,31,521,33.2,"2,894","63,645","1,554",-,80,19,115,294,563,271,-,100,80,"1,635","1,363",22,21.1,27,6.3,3,10.9,0.7,"1,044"
57700,Serpentine-Jarrahdale (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,597",-,80,19,144,306,659,320,83,104,95,"1,805","1,486",-,-,-,-,-,-,-,-
57770,Shark Bay (S),2011,431,40,"17,931,380","33,355","41,604",80.2,78,51,"1,656,188","10,462","21,233",8.8,292,49,"1,021,462",396,"3,498",10.1,-,-,-,-,-,-,442,44,"20,044,968","37,141","45,351",5.83,2.03,0.35,0.14,0.484,-,19.1,30.7,28.5,27,21.6,22.9,29,1.0,"4,000","34,791",102,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,723
57770,Shark Bay (S),2012,406,41,"18,100,236","33,436","44,582",80.4,69,52,"1,505,886","12,271","21,824",8.5,276,49,"1,543,056",754,"5,591",9.9,-,-,-,-,-,-,422,43,"21,113,371","37,455","50,032",5.09,2.1,0.41,0.19,0.464,-,18.7,30.4,27.6,28.1,20,24.3,20,-,585,"2,245",79,-,-,-,-,33,-,-,-,-,-,42,42,-,-,-,-,-,-,-,-
57770,Shark Bay (S),2013,450,41,"22,271,714","38,177","49,493",79.5,81,52,"1,485,786","12,662","18,343",8,314,47,"1,504,681",338,"4,792",10.9,-,-,-,-,-,-,486,43,"25,036,598","40,270","51,516",5.41,2.08,0.38,0.18,0.45,-,16.5,28.3,27.7,27.3,20.3,24.6,20,0.3,"5,943","17,443",80,-,-,-,-,30,36,-,-,-,-,51,49,-,-,-,-,-,-,-,-
57770,Shark Bay (S),2014,454,42,"22,882,681","40,462","50,402",79.5,73,54,"1,569,925","14,992","21,506",7.7,325,49,"1,721,639",324,"5,297",11.4,-,-,-,-,-,-,494,44,"25,599,865","42,485","51,822",5.03,1.95,0.39,0.16,0.451,-,16.8,28.7,28.4,26,21.3,24.3,28,0.8,"3,303","28,587",92,-,12,-,-,31,24,-,-,-,-,48,45,-,-,-,-,-,-,-,-
57770,Shark Bay (S),2015,476,41,"24,589,617","43,306","51,659",79.6,68,54,"1,613,684","10,845","23,731",7.3,341,45,"1,942,077",294,"5,695",12,-,-,-,-,-,-,508,44,"27,368,922","45,018","53,876",5.17,1.87,0.36,0.19,0.444,5.2,17.4,29.1,26.9,26.3,23.9,22.9,20,0.1,"2,455","3,994",97,-,10,-,-,32,39,-,-,-,-,45,44,-,-,-,-,-,-,-,-
57770,Shark Bay (S),2016,445,40,"22,090,413","39,373","49,641",76.5,82,55,"1,786,029","11,400","21,781",8.5,332,47,"1,688,874",140,"5,087",11.7,-,-,-,-,-,-,469,44,"24,361,294","42,091","51,943",4.83,1.91,0.4,0.13,0.448,-,16.4,28.8,26,31.6,22.6,19.8,30,0.4,"2,222","13,133",104,-,8,-,-,27,47,5,-,-,5,40,31,29.8,25.8,17.7,5.3,1.5,5.5,0.9,743
57770,Shark Bay (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,7,-,-,22,42,7,-,-,-,45,37,-,-,-,-,-,-,-,-
57840,South Perth (C),2011,"22,248",35,"1,414,996,530","47,248","63,601",74.2,"3,349",47,"128,951,274","10,403","38,504",5.9,"19,200",44,"292,217,390",873,"15,220",17.1,878,63,"22,577,969","20,848","25,715",1.7,"25,698",40,"1,829,528,059","49,353","71,193",6.28,2.05,0.33,0.15,0.53,10.3,25.7,38,22.8,20.1,20.6,36.4,"2,957",198.3,"4,352","67,077","2,852",-,-,-,98,737,485,288,-,794,66,-,-,-,-,-,-,-,-,-,"1,100"
57840,South Perth (C),2012,"23,363",35,"1,604,739,552","50,418","68,687",74.9,"3,285",47,"126,877,343","10,000","38,623",5.6,"20,197",44,"343,680,438",800,"17,016",16.9,901,63,"24,543,973","21,767","27,241",1.7,"26,617",41,"2,062,279,142","53,325","77,480",6.04,2.06,0.34,0.15,0.53,10.9,26.1,38.1,22.1,20,20.5,37.4,"2,406",150.8,"3,328","62,661","2,953",9,301,171,117,760,494,284,-,747,62,"1,239","1,196",-,-,-,-,-,-,-,-
57840,South Perth (C),2013,"24,383",35,"1,791,018,228","53,573","73,454",74.8,"3,348",48,"133,354,505","10,613","39,831",5.5,"20,802",44,"360,978,370",753,"17,353",17.1,827,63,"24,750,938","22,739","29,929",1.5,"27,357",41,"2,254,363,321","56,817","82,405",5.91,2.07,0.35,0.17,0.523,10,25.4,37.5,21.8,19.2,20.7,38.3,"2,525",136.0,"3,510","53,854","2,941",6,265,141,111,719,601,183,-,689,79,"1,106","1,079",-,-,-,-,-,-,-,-
57840,South Perth (C),2014,"24,564",36,"1,864,715,891","54,761","75,913",74.4,"3,314",47,"142,544,970","12,144","43,013",5.7,"21,251",44,"393,069,646",741,"18,497",17.3,843,63,"25,639,625","24,183","30,415",1.6,"27,536",41,"2,362,563,676","57,670","85,799",5.99,2.11,0.35,0.17,0.529,11,26.4,38.4,21.8,19.3,20.5,38.4,"2,886",206.9,"4,809","71,675","2,986",9,239,138,116,692,633,219,-,697,76,"1,094","1,064",-,-,-,-,-,-,-,-
57840,South Perth (C),2015,"25,004",36,"1,946,551,536","56,513","77,850",73.7,"3,433",47,"140,659,788","10,871","40,973",5.6,"21,774",44,"397,547,554",699,"18,258",18,879,63,"28,776,897","24,300","32,738",1.6,"27,908",41,"2,415,773,067","58,605","86,562",5.94,2.07,0.35,0.16,0.53,11.3,26.6,38.6,21.9,19.5,20.8,37.7,"2,881",170.7,"4,366","59,266","3,044",9,218,134,128,676,753,213,-,608,93,"1,067","1,026",-,-,-,-,-,-,-,-
57840,South Perth (C),2016,"23,771",37,"1,857,519,560","58,304","78,142",72,"3,501",47,"136,835,554","11,345","39,085",6.1,"21,429",45,"378,553,790",632,"17,665",19,883,62,"26,357,249","23,759","29,850",1.8,"27,110",42,"2,289,912,186","58,242","84,467",6.27,2.08,0.33,0.15,0.529,10.9,26,37.9,23.2,19.4,21,36.4,"2,726",152.0,"3,840","55,761","3,176",10,191,123,130,633,748,210,-,625,81,"1,094",964,21.5,17.6,24.1,8.3,8,10.7,0.5,"1,191"
57840,South Perth (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,055",9,155,104,133,614,819,189,50,575,122,"1,074",919,-,-,-,-,-,-,-,-
57910,Stirling (C),2011,"103,138",36,"5,815,335,276","45,354","56,384",76.4,"16,652",44,"518,081,516","12,880","31,112",7.3,"81,636",43,"849,449,549",514,"10,405",13.9,"3,529",64,"84,340,478","19,185","23,899",1.6,"118,254",39,"7,157,953,499","45,777","60,530",5.13,1.88,0.37,0.17,0.488,9.1,23,34.5,22.2,22.6,24.5,30.7,"10,242",408.4,"3,430","39,874","19,355",-,-,-,916,"5,845","3,862","2,287",-,"2,813",492,-,-,-,-,-,-,-,-,-,906
57910,Stirling (C),2012,"110,413",35,"6,697,829,607","48,243","60,662",77.2,"17,009",44,"538,351,354","13,416","31,651",7,"87,186",42,"946,736,858",501,"10,859",13.7,"3,476",65,"87,050,183","20,047","25,043",1.5,"124,526",39,"8,112,244,289","49,267","65,145",5.04,1.89,0.38,0.18,0.483,8.7,22.6,34.1,21.9,22.1,24.3,31.7,"7,909",295.0,"3,178","37,293","19,588",43,"1,582",603,985,"5,909","4,038","2,257",-,"2,389",494,"10,732","9,635",-,-,-,-,-,-,-,-
57910,Stirling (C),2013,"117,264",35,"7,535,013,520","50,666","64,257",77.4,"17,357",44,"576,105,986","13,887","33,192",6.9,"91,079",42,"1,071,451,640",471,"11,764",13.5,"3,471",64,"88,422,229","18,997","25,475",1.4,"129,864",39,"9,062,616,982","52,355","69,785",4.89,1.9,0.39,0.19,0.48,8.6,22.6,34.1,21.3,21.7,24.2,32.8,"8,640",369.2,"3,142","42,735","19,780",43,"1,432",552,"1,036","5,758","4,682","1,716",-,"2,181",619,"10,326","9,403",-,-,-,-,-,-,-,-
57910,Stirling (C),2014,"119,051",35,"7,842,509,365","52,101","65,875",77.3,"17,571",44,"583,621,096","13,871","33,215",6.9,"93,494",42,"1,152,664,323",425,"12,329",13.7,"3,382",63,"92,153,426","20,752","27,248",1.4,"131,517",39,"9,395,137,348","53,494","71,437",4.9,1.9,0.39,0.19,0.481,8.9,22.8,34.3,21.4,21.7,24.3,32.7,"9,759",520.6,"3,990","53,351","19,988",38,"1,319",517,"1,103","5,548","4,993","1,700",-,"2,155",609,"9,993","9,131",-,-,-,-,-,-,-,-
57910,Stirling (C),2015,"123,462",36,"8,369,329,317","53,448","67,789",76.9,"18,120",43,"582,587,359","13,657","32,152",6.9,"97,691",42,"1,137,895,057",372,"11,648",14.1,"3,487",62,"98,101,652","21,302","28,134",1.4,"134,726",39,"9,744,379,976","54,290","72,327",4.97,1.91,0.38,0.19,0.481,8.8,22.6,34.1,21.6,21.9,24.2,32.4,"9,970",384.2,"3,849","38,539","20,489",34,"1,197",471,"1,123","5,364","5,459","1,639",-,"1,710",577,"9,706","8,916",-,-,-,-,-,-,-,-
57910,Stirling (C),2016,"119,546",36,"8,149,735,747","54,122","68,172",76,"18,827",43,"561,839,821","12,600","29,842",7.2,"97,293",42,"1,071,162,727",297,"11,010",14.6,"3,457",62,"101,910,156","21,771","29,479",1.5,"132,540",40,"9,467,937,701","53,876","71,435",5.18,1.93,0.37,0.17,0.484,8.7,22.4,33.9,22.4,22.1,24,31.5,"9,409",403.4,"3,011","42,869","20,643",31,"1,097",439,"1,170","5,112","5,896","1,689",-,"1,810",564,"9,706","8,331",24.9,20.6,24.8,7.2,4.9,8.6,0.5,"1,020"
57910,Stirling (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,036",30,960,400,"1,152","4,956","6,531","1,638",728,"1,628",746,"9,671","8,039",-,-,-,-,-,-,-,-
57980,Subiaco (C),2011,"8,227",37,"618,309,358","50,100","75,156",70.5,"1,399",50,"86,123,712","12,307","61,561",6.7,"7,566",46,"147,578,386","1,402","19,505",19.7,387,64,"10,466,996","20,331","27,047",1.9,"9,543",43,"849,095,267","55,531","88,976",7,2.22,0.32,0.14,0.567,12.1,29.1,41.8,21.2,17.7,19.1,42,"1,369",66.2,"5,000","48,346",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,191"
57980,Subiaco (C),2012,"8,634",37,"698,208,602","54,780","80,867",71,"1,393",50,"91,342,953","12,723","65,573",6.4,"7,915",45,"160,351,104","1,300","20,259",19.7,385,64,"11,937,847","22,518","31,007",1.8,"9,824",43,"944,390,174","61,079","96,131",6.97,2.22,0.32,0.14,0.559,11,28.1,40.9,20.9,17.1,18.3,43.7,"1,123",67.5,"4,224","60,137",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57980,Subiaco (C),2013,"8,913",37,"780,924,181","58,097","87,616",70.7,"1,381",50,"92,699,498","15,699","67,125",6.5,"8,164",45,"162,324,738","1,281","19,883",19.9,359,65,"11,068,839","22,941","30,832",1.7,"10,072",42,"1,025,825,601","64,568","101,849",6.82,2.2,0.32,0.15,0.56,11.8,28.5,41.3,20.7,16.9,18.2,44.2,"1,201",66.2,"2,943","55,145",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57980,Subiaco (C),2014,"9,077",38,"809,291,021","59,552","89,158",70.8,"1,379",50,"85,887,284","14,482","62,282",5.9,"8,363",46,"181,661,600","1,335","21,722",20.2,383,66,"12,716,182","25,017","33,202",1.8,"10,219",43,"1,057,787,687","65,956","103,512",6.67,2.19,0.33,0.15,0.554,11,28.1,40.8,20.4,16.9,18.6,44.1,"1,407",72.4,"4,552","51,481",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57980,Subiaco (C),2015,"9,547",38,"882,028,247","61,457","92,388",70.2,"1,435",50,"96,531,856","15,124","67,270",6.1,"8,737",46,"191,896,627","1,366","21,964",20.8,383,66,"12,342,123","26,174","32,225",1.7,"10,608",44,"1,132,143,034","66,884","106,725",6.7,2.2,0.33,0.15,0.561,11.7,29.3,41.8,20.6,17.3,18.3,43.8,"1,467",50.5,"4,917","34,391",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57980,Subiaco (C),2016,"9,484",38,"841,236,305","60,318","88,701",68,"1,624",51,"100,729,743","14,001","62,026",7.2,"8,931",47,"188,738,078","1,127","21,133",21.6,382,65,"13,561,325","26,590","35,501",1.8,"10,804",44,"1,095,236,462","64,998","101,373",7.08,2.19,0.31,0.13,0.561,11.5,28.8,41.2,22.3,17.2,18.6,41.9,"1,418",54.8,"3,490","38,665",-,-,-,-,-,-,-,-,-,-,-,-,-,18.8,15.6,24.7,10.2,11.8,8.2,0.3,"1,381"
58050,Swan (C),2011,"54,819",38,"2,823,087,187","44,975","51,498",82.7,"8,202",44,"180,457,614","13,103","22,002",7.4,"34,295",43,"190,331,952",186,"5,550",8.3,"1,279",58,"25,122,431","14,199","19,642",1,"59,686",40,"3,159,008,239","45,071","52,927",4.35,1.74,0.4,0.19,0.432,6.5,18.3,29,21,23.9,28,27,"2,757",119.9,"3,182","43,484","7,711",-,-,-,581,"3,056","2,125","2,051",-,"1,226",410,-,-,-,-,-,-,-,-,-,850
58050,Swan (C),2012,"58,904",38,"3,268,020,478","47,547","55,480",83.3,"8,299",45,"198,080,738","13,564","23,868",7.1,"37,235",43,"206,832,592",178,"5,555",8,"1,249",59,"27,095,467","15,936","21,694",0.9,"63,157",40,"3,614,286,159","48,115","57,227",4.27,1.75,0.41,0.21,0.426,6.1,17.9,28.8,20.7,23.7,27.5,28.1,"2,012",82.7,"3,348","41,096","7,874",12,592,130,651,"3,239","2,281","2,007",-,998,424,"9,736","8,544",-,-,-,-,-,-,-,-
58050,Swan (C),2013,"63,212",38,"3,743,118,508","50,132","59,215",83.7,"8,382",45,"198,450,159","13,894","23,676",6.8,"39,571",43,"250,995,702",161,"6,343",7.8,"1,278",59,"26,597,400","15,256","20,812",0.8,"66,318",40,"4,093,378,464","51,231","61,723",4.04,1.75,0.43,0.23,0.424,6.6,18.3,29.1,19.5,23.6,27.7,29.2,"2,432",82.4,"3,482","33,861","8,277",12,579,126,729,"3,204","2,917","1,581",-,820,546,"9,265","8,343",-,-,-,-,-,-,-,-
58050,Swan (C),2014,"66,745",38,"4,036,068,660","51,652","60,470",83.9,"8,734",45,"201,254,324","13,352","23,043",6.7,"42,803",43,"283,746,227",139,"6,629",7.8,"1,300",59,"31,155,140","16,317","23,965",0.9,"69,853",40,"4,391,987,070","52,303","62,875",4.01,1.74,0.43,0.23,0.425,6.9,18.5,29.3,19.6,23.6,28.2,28.5,"2,779",131.3,"3,942","47,262","8,587",11,576,130,813,"3,220","3,314","1,630",-,843,612,"9,221","8,391",-,-,-,-,-,-,-,-
58050,Swan (C),2015,"70,877",38,"4,358,198,532","52,746","61,490",83.4,"9,124",44,"222,136,865","14,241","24,346",6.9,"46,119",42,"278,057,503",107,"6,029",8.1,"1,457",58,"35,369,012","15,888","24,275",0.9,"73,413",40,"4,657,851,133","52,977","63,447",4.09,1.74,0.43,0.22,0.425,6.5,18.3,29.1,20,23.6,28.1,28.3,"2,800",81.2,"3,644","29,001","9,125",11,556,122,872,"3,136","3,995","1,757",-,775,589,"9,527","8,743",-,-,-,-,-,-,-,-
58050,Swan (C),2016,"71,263",38,"4,420,576,149","53,661","62,032",82.9,"9,772",44,"213,871,074","12,420","21,886",7.1,"47,685",42,"238,770,562",77,"5,007",8.3,"1,598",58,"38,271,615","16,073","23,950",1.1,"74,925",40,"4,678,797,518","52,874","62,446",4.15,1.75,0.42,0.21,0.423,6,17.7,28.4,20.3,24.4,28.1,27.2,"2,523",87.1,"2,727","34,530","9,609",14,550,107,919,"3,044","4,450","1,841",-,923,663,"9,915","8,311",24.6,22.3,25.6,5.4,2.1,10.4,0.7,941
58050,Swan (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,743",15,525,92,919,"2,980","5,026","1,897",588,887,822,"10,046","8,289",-,-,-,-,-,-,-,-
