,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
10300,Balranald (A),2015,964,43,"38,555,702","36,575","39,996",66.9,368,50,"11,981,858","22,439","32,559",19.9,764,50,"5,114,328",291,"6,694",11.9,21,58,"459,924","12,508","21,901",1,"1,147",46,"54,157,835","41,600","47,217",4.37,1.67,0.38,0.13,0.459,6.3,19.1,29.9,27.9,29.7,27.4,14.9,71,2.3,"5,823","32,532",264,-,9,6,30,98,57,24,-,-,-,177,134,-,-,-,-,-,-,-,-
10300,Balranald (A),2016,966,42,"40,824,632","39,057","42,262",68.8,378,50,"14,754,147","20,961","39,032",19.2,781,49,"6,477,254",212,"8,294",10.5,22,59,"489,626","13,125","22,256",0.9,"1,167",45,"60,805,605","42,282","52,104",3.91,1.72,0.44,0.16,0.47,9.5,22.7,32.9,25.3,30.8,28.9,14.9,60,2.8,"2,120","46,415",266,-,7,5,27,93,62,18,-,-,5,155,117,25.9,28.8,16.8,2.9,1.6,7.6,1.2,710
10300,Balranald (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266,-,9,4,27,89,46,22,-,-,-,156,116,-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2011,"17,891",39,"832,199,739","40,870","46,515",79.5,"3,304",51,"61,035,511","8,527","18,473",7.7,"13,629",47,"77,979,982",275,"5,722",11.2,586,57,"13,840,854","12,718","23,619",1.1,"20,041",43,"972,113,716","40,820","48,506",5.02,1.85,0.37,0.15,0.441,6.3,17.9,28.5,24.5,25.5,25.3,24.7,"1,168",24.4,"1,662","20,919","3,898",-,-,-,289,"1,593",970,775,-,"1,371",201,-,-,-,-,-,-,-,-,-,724
10470,Bathurst Regional (A),2012,"18,425",40,"904,177,058","42,914","49,073",79.5,"3,322",51,"61,066,219","7,350","18,382",7.5,"14,166",47,"82,493,015",270,"5,823",11.3,605,58,"15,288,448","15,294","25,270",1.2,"20,398",43,"1,044,946,854","43,341","51,228",4.85,1.83,0.38,0.17,0.437,6,17.6,28.2,24.4,25.2,25.6,24.8,956,24.1,"2,055","25,160","4,033",6,185,130,308,"1,645",885,742,-,"1,341",189,"3,039","2,543",-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2013,"18,809",40,"948,613,705","43,769","50,434",79.2,"3,384",51,"56,850,534","6,468","16,800",7.3,"14,491",47,"86,752,057",272,"5,987",11.7,617,58,"15,019,951","13,501","24,344",1.2,"20,543",43,"1,083,349,529","44,275","52,736",4.59,1.83,0.4,0.18,0.436,5.9,17.6,28.3,24.6,25.9,25.5,24,"1,201",23.7,"1,618","19,708","4,152",7,171,131,355,"1,660","1,048",648,-,"1,245",254,"2,997","2,532",-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2014,"19,036",40,"977,887,371","44,641","51,370",79.4,"3,441",51,"61,514,899","7,836","17,877",7.4,"14,426",47,"92,214,945",270,"6,392",11.5,612,58,"16,620,528","14,270","27,158",1.3,"20,703",44,"1,118,598,172","45,164","54,031",4.64,1.83,0.4,0.17,0.438,6.2,17.9,28.6,24.5,26.2,25.4,23.9,"1,390",27.9,"2,810","20,080","4,286",6,153,111,392,"1,694","1,159",692,-,"1,140",252,"2,976","2,551",-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2015,"19,738",40,"1,042,624,324","46,378","52,823",78.9,"3,519",51,"70,659,291","8,297","20,079",7.9,"14,931",47,"98,054,992",247,"6,567",11.6,600,58,"16,977,647","15,922","28,296",1.3,"21,192",44,"1,176,803,783","46,456","55,531",4.52,1.82,0.4,0.17,0.433,6.2,17.8,28.5,24.1,26.3,25.6,24,"1,389",35.6,"2,772","25,612","4,461",6,145,103,436,"1,718","1,190",712,-,966,255,"2,985","2,581",-,-,-,-,-,-,-,-
10470,Bathurst Regional (A),2016,"19,871",40,"1,084,052,406","47,994","54,554",78.9,"3,505",51,"71,312,446","8,815","20,346",7.8,"15,045",47,"97,235,901",208,"6,463",11.6,590,58,"17,179,027","17,334","29,117",1.3,"21,410",44,"1,220,861,585","47,746","57,023",4.59,1.82,0.4,0.16,0.439,6.6,18.1,28.7,23.8,26.2,26,24,"1,372",37.5,"2,127","27,368","4,569",4,145,93,459,"1,694","1,110",715,-,879,220,"2,969","2,432",28.5,24.6,21.7,4.1,1.5,7.1,0.4,817
10470,Bathurst Regional (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,541",-,129,81,473,"1,684","1,157",678,169,767,257,"2,856","2,275",-,-,-,-,-,-,-,-
10500,Bayside (A),2011,"64,254",37,"3,240,761,301","43,616","50,437",80.6,"10,252",44,"204,596,730","13,110","19,957",7.8,"50,015",42,"235,921,500",389,"4,717",10.3,"1,414",58,"30,290,527","14,275","21,422",0.9,"75,792",39,"3,706,064,373","40,712","48,898",4.56,1.8,0.4,0.19,0.437,6.6,18.5,29.3,23.4,26.7,26.7,23.2,"3,223",74.3,"2,890","23,060",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,761
