Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Mid-Coast (A)",359,4645,3032,7211,11333,9977,7654,6508,5545,4483,2549,1782,1292,1390,813,7802,13932,90302,
"Mid-Western Regional (A)",111,1323,765,1563,2103,2006,1518,1442,1326,1209,732,602,526,998,479,2475,4903,24079,
"Moree Plains (A)",87,564,330,810,877,765,742,828,888,866,550,431,262,309,253,1732,2884,13158,
"Mosman (A)",81,2127,826,808,798,914,907,1053,1308,1601,1381,1463,1079,2440,4557,2133,5014,28476,
"Murray River (A)",72,559,375,742,1131,1029,947,809,851,756,434,276,222,226,144,1110,1997,11682,
"Murrumbidgee (A)",17,193,84,184,298,260,266,274,299,306,151,118,70,67,50,419,785,3838,
"Muswellbrook (A)",69,1016,526,919,1050,1005,953,909,897,816,591,513,425,960,318,1496,3623,16086,
"Nambucca (A)",73,909,626,1570,2446,2244,1508,1346,1146,913,493,361,256,252,135,1752,3171,19210,
"Narrabri (A)",74,604,367,781,889,958,849,839,859,816,532,418,300,362,203,1446,2789,13083,
"Narrandera (A)",36,243,133,342,502,510,455,429,382,361,208,170,88,86,49,706,1155,5853,
"Narromine (A)",47,320,175,365,524,506,449,450,404,391,237,186,138,126,71,692,1374,6444,
"Newcastle (C)",472,9280,5220,9924,11967,11900,10206,9829,10536,10856,7582,6497,4562,6827,3649,9911,26200,155412,
"North Sydney (A)",195,3628,1358,1646,1833,2233,2454,2646,3469,4929,4506,4637,3771,8051,8360,5387,8545,67655,
"Northern Beaches (A)",713,15658,8486,9633,10959,12439,13238,13555,15655,17626,13345,12239,8855,16833,18327,15455,49853,252876,
"Oberon (A)",22,290,167,329,405,383,325,336,372,344,226,183,127,122,53,695,923,5301,
"Orange (C)",138,2264,1241,2188,2918,2876,2550,2651,2686,2697,1780,1535,1178,1557,672,2875,8545,40348,
"Parkes (A)",84,782,509,964,1249,1164,993,911,889,813,562,419,332,402,147,1456,2948,14611,
"Parramatta (C)",981,24321,7522,11055,12133,11709,11165,11933,14400,16433,11993,10604,7931,12173,4954,15247,41605,226153,
"Penrith (C)",742,13628,5859,9479,11928,11669,10958,12401,15116,16143,10778,8467,5622,6535,2177,13273,41287,196064,
"Port Macquarie-Hastings (A)",232,3829,2528,5044,8453,7631,6380,5688,5260,4579,2759,2157,1560,1781,985,6578,13101,78541,
"Port Stephens (A)",235,3955,2350,4322,6377,5986,5136,4626,4458,4410,2752,2333,1481,2027,919,5677,12513,69556,
"Queanbeyan-Palerang Regional (A)",153,3004,1662,2122,2560,2671,2583,3117,3830,4357,3571,3244,2191,4015,1789,4192,10963,56027,
"Randwick (C)",625,14181,4184,6074,6769,7143,6777,6434,7815,9651,7642,7173,5423,9291,7841,12676,20965,140659,
"Richmond Valley (A)",107,1113,653,1627,2615,2284,1766,1770,1607,1228,608,408,277,246,137,1994,4367,22805,
"Rockdale (C)",575,10429,3157,5626,7475,7409,6575,6977,8242,8273,5449,4460,2960,4392,1978,8004,17426,109402,
"Ryde (C)",490,13106,4066,5878,6289,6286,5951,6087,7162,8612,6209,5584,4238,7068,4264,6054,18961,116304,
"Shellharbour (C)",209,4615,2383,4109,6249,5309,4665,4486,4448,4346,2800,2362,1742,2267,725,4145,13607,68460,
"Shoalhaven (C)",435,4924,3306,7091,11009,9730,7965,6973,6151,5623,3335,2650,1854,2087,1071,9121,16320,99649,
"Singleton (A)",91,1643,813,1206,1457,1377,1292,1363,1253,1243,878,818,715,1568,652,1761,4861,22990,
"Snowy Monaro Regional (A)",71,873,623,1067,1486,1462,1506,1529,1593,1415,928,717,492,623,312,2051,3463,20216,
"Snowy Valleys (A)",55,783,443,868,1260,1167,1025,934,873,929,561,492,298,376,152,1581,2607,14398,
"Strathfield (A)",220,5105,1258,1973,2292,2124,2157,2285,2626,3025,2099,1793,1185,1805,1272,2874,6223,40313,
"Sutherland Shire (A)",608,13560,7742,9371,11375,12399,12332,12674,14358,16372,12302,11626,8458,13641,8577,11411,41652,218465,
"Sydney (C)",1122,20242,4245,8244,10390,10705,9729,9642,12278,15209,12428,12208,9091,17788,14144,26863,14042,208376,
