Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Perth (C)",122,2102,557,955,1037,1061,965,956,1214,1446,1205,1139,889,1877,1558,3566,1142,21798,
"Pingelly (S)",10,67,45,86,123,98,68,49,67,62,44,35,31,26,15,129,197,1150,
"Plantagenet (S)",34,317,172,361,451,409,357,285,357,315,195,123,101,125,58,544,888,5078,
"Port Hedland (T)",85,889,268,403,363,292,355,373,509,727,634,698,674,1615,1176,1986,3424,14465,
"Quairading (S)",4,42,14,65,113,95,81,48,62,54,44,30,12,34,26,124,172,1020,
"Ravensthorpe (S)",10,101,39,86,128,130,107,81,84,97,75,57,66,117,54,198,307,1732,
"Rockingham (C)",534,10201,4311,6376,7767,6773,6704,6124,6896,7811,5757,5119,3989,6693,2917,9213,27919,125112,
"Sandstone (S)",0,7,3,8,5,12,8,0,7,8,5,3,0,0,5,17,0,89,
"Serpentine-Jarrahdale (S)",142,2223,880,1118,1377,1114,1290,1378,1637,2003,1427,1206,878,1287,617,1860,6400,26831,
"Shark Bay (S)",6,39,19,51,101,67,58,67,76,45,39,29,27,43,16,102,168,947,
"South Perth (C)",199,3834,1441,2059,1983,2244,2160,1933,2241,2794,2205,2046,1614,2975,2878,3287,6094,41989,
"Stirling (C)",870,15103,7035,11012,12725,12820,11559,11396,13011,14990,11271,9734,7295,12575,8594,14822,35397,210209,
"Subiaco (C)",65,1814,783,947,817,895,968,779,897,1109,934,969,773,1511,1704,1545,2852,19363,
"Swan (C)",688,10924,4531,7094,7500,6724,7082,7275,8991,10075,6991,5832,3930,5621,2240,9354,28997,133851,
"Tammin (S)",0,13,3,20,32,31,26,27,24,19,17,16,6,11,5,55,94,401,
"Three Springs (S)",6,37,12,31,43,43,38,20,46,31,28,24,14,23,13,42,146,592,
"Toodyay (S)",21,359,145,337,365,334,287,242,221,259,197,173,109,195,102,437,652,4442,
"Trayning (S)",0,15,11,28,24,33,25,12,26,17,20,12,0,8,7,60,51,348,
"Upper Gascoyne (S)",3,6,6,35,16,5,11,8,7,10,3,0,4,3,6,64,83,280,
"Victoria Park (T)",165,2908,1039,1790,1932,2139,1920,1732,2142,2472,1886,1604,1253,2260,1244,3769,4729,34990,
"Victoria Plains (S)",10,69,26,44,69,52,48,58,85,61,46,41,20,27,17,82,170,913,
"Vincent (C)",129,1977,913,1464,1751,1796,1580,1527,1870,2343,2001,1860,1431,3034,2215,3009,4772,33696,
"Wagin (S)",13,81,50,127,166,199,114,108,121,134,66,42,34,49,22,181,336,1850,
"Wandering (S)",4,34,12,28,26,18,19,22,31,19,28,17,13,23,9,53,88,448,
"Wanneroo (C)",927,15615,6624,9788,10160,9644,10059,10219,11809,13466,9573,8144,5649,8434,3565,11338,43217,188216,
"Waroona (S)",17,320,125,267,312,295,258,211,179,177,142,129,125,233,87,502,774,4150,
"West Arthur (S)",0,37,25,53,67,59,58,54,59,59,30,29,24,22,18,58,155,805,
"Westonia (S)",0,14,0,7,16,17,9,8,17,26,7,17,15,34,14,46,49,307,
"Wickepin (S)",0,24,26,35,74,54,47,48,50,53,23,27,14,20,9,68,142,720,
"Williams (S)",4,42,24,44,58,49,54,65,71,89,60,37,48,38,10,93,202,979,
"Wiluna (S)",0,18,24,75,29,17,14,11,23,30,40,58,38,98,45,141,82,745,
"Wongan-Ballidu (S)",4,56,48,82,94,99,74,73,91,93,83,52,45,48,28,82,282,1334,
"Woodanilling (S)",0,16,4,24,34,30,23,24,28,23,18,25,20,13,9,24,86,409,
"Wyalkatchem (S)",0,24,9,32,60,57,40,17,35,23,29,17,9,13,4,73,75,511,
"Wyndham-East Kimberley (S)",36,285,144,484,372,245,258,344,474,476,404,334,242,376,155,869,1642,7152,
"Yalgoo (S)",0,13,4,11,10,10,13,5,9,19,23,23,19,55,19,73,30,338,
"Yilgarn (S)",8,70,22,69,65,57,57,67,52,56,65,48,45,122,57,188,154,1201,
"York (S)",28,184,132,198,350,340,227,210,196,199,127,118,94,130,47,404,611,3604,
"No usual address (WA)",48,502,213,820,558,411,312,300,295,264,156,154,129,242,150,1010,393,5950,
"Migratory - Offshore - Shipping (WA)",6,0,0,4,4,7,0,0,10,17,12,28,24,94,141,83,0,431,
"Total",11383,191075,84676,130576,148304,138997,134141,129346,146016,164382,119759,106234,80257,136710,84514,191343,476683,2474414,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
