"Australian Exporters: by Export Value Range, Industry, State, and Destination Country",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Goods and Services Credit ($m),404125,"per 5368.0 Table 1 'Credits, Total goods and services' for FY 2018",,,,,,
,DATA SOURCE,5368.0.55.006 Tables 6 & 7,,5368.0.55.006 Table 1.1,,,5368.0.55.006 Table 5.1,,,,,,,,,,"5368.0.55.006 Table 5.2, and 5368.0 Table 1",,,,,,,,
,,,,Number of Goods Exporters,,,Industry of exporter,,,,,,,,,,Value of Goods and Services Exports in FY 2018 by Industry of exporter (ratio per cell multiplied by Total Goods and Services),,,,,,,,
Destination Country,Value Range,State,Size,Total,,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL
,,,,no.,%,,no.,no.,no.,no.,no.,no.,no.,no.,no.,,$,$,$,$,$,$,$,$,$
ARGENTINA,"$750,000 and less than $875,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$500,000 and less than $750,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$250,000 and less than $500,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$100,000 and less than $250,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$55,000 and less than $100,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"$10,000 and less than $55,000",ACT,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
ARGENTINA,"Less than $10,000",ACT,Small,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$100m or more,NSW,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$50m and less than $100m,NSW,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$10m and less than $50m,NSW,Large,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,636773,0,407726,0,0,61269,1105767
AUSTRIA,$1m and less than $10m,NSW,Large,11,3%,,0,0,2,0,4,1,1,3,11,,0,0,3044159,0,1949176,67197,168831,292901,5522264
AUSTRIA,"$875,000 and less than $1m",NSW,Large,1,0%,,0,0,0,0,1,0,0,0,1,,0,0,0,0,216465,0,0,0,216465
AUSTRIA,"$750,000 and less than $875,000",NSW,Medium,1,0%,,0,0,0,0,1,0,0,0,1,,0,0,0,0,2219,0,0,0,2219
AUSTRIA,"$500,000 and less than $750,000",NSW,Medium,4,1%,,0,0,1,0,2,1,0,1,5,,0,0,4280,0,7777,1068,0,4252,17376
AUSTRIA,"$250,000 and less than $500,000",NSW,Medium,9,2%,,0,0,2,0,4,1,0,2,9,,0,0,9151,0,16628,2283,0,9090,37152
AUSTRIA,"$100,000 and less than $250,000",NSW,Medium,15,4%,,0,0,4,1,6,2,1,3,17,,0,0,15736,1169,28595,3926,6865,15633,71924
AUSTRIA,"$55,000 and less than $100,000",NSW,Medium,26,6%,,1,0,6,1,10,3,1,5,27,,3580,0,26504,1969,48162,6612,11562,26329,124718
AUSTRIA,"$10,000 and less than $55,000",NSW,Small,26,6%,,1,0,5,1,9,4,1,7,28,,221,0,1726,274,4444,925,779,3111,11479
AUSTRIA,"Less than $10,000",NSW,Small,45,11%,,1,0,8,2,16,6,2,12,47,,382,0,2984,473,7684,1599,1347,5380,19848
AUSTRIA,$100m or more,VIC,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$50m and less than $100m,VIC,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$10m and less than $50m,VIC,Large,2,0%,,0,0,1,0,1,0,0,1,3,,0,0,951796,0,761729,0,0,72145,1785670
AUSTRIA,$1m and less than $10m,VIC,Large,10,2%,,0,0,2,0,4,1,1,2,10,,0,0,4550163,0,3641525,181327,223121,344898,8941033
AUSTRIA,"$875,000 and less than $1m",VIC,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$750,000 and less than $875,000",VIC,Medium,1,0%,,0,0,0,0,1,0,0,0,1,,0,0,0,0,4146,0,0,0,4146
AUSTRIA,"$500,000 and less than $750,000",VIC,Medium,4,1%,,0,0,1,0,2,0,0,1,4,,0,0,6397,0,14529,0,0,5006,25933
AUSTRIA,"$250,000 and less than $500,000",VIC,Medium,8,2%,,0,0,2,0,3,1,0,2,8,,0,0,13678,0,31065,6160,0,10704,61607
AUSTRIA,"$100,000 and less than $250,000",VIC,Medium,14,3%,,0,0,4,1,5,1,1,3,15,,0,0,23522,1435,53422,10593,9072,18408,116452
AUSTRIA,"$55,000 and less than $100,000",VIC,Medium,23,6%,,1,0,6,1,9,2,1,4,24,,18337,0,39617,2418,89977,17842,15280,31004,214474
AUSTRIA,"$10,000 and less than $55,000",VIC,Small,23,6%,,1,0,5,1,8,3,1,5,24,,1131,0,2579,336,8302,2495,1030,3664,19536
AUSTRIA,"Less than $10,000",VIC,Small,40,10%,,1,0,8,1,14,5,1,9,39,,1955,0,4460,581,14355,4314,1780,6335,33781
AUSTRIA,$100m or more,QLD,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$50m and less than $100m,QLD,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$10m and less than $50m,QLD,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$1m and less than $10m,QLD,Large,5,1%,,0,0,1,0,2,1,0,1,5,,0,0,1233051,0,814065,23585,0,98386,2169086
AUSTRIA,"$875,000 and less than $1m",QLD,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$750,000 and less than $875,000",QLD,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$500,000 and less than $750,000",QLD,Medium,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,1734,0,3248,0,0,1428,6410
AUSTRIA,"$250,000 and less than $500,000",QLD,Medium,4,1%,,0,0,1,0,1,1,0,1,4,,0,0,3707,0,6945,801,0,3053,14506
AUSTRIA,"$100,000 and less than $250,000",QLD,Medium,8,2%,,0,0,2,1,2,1,0,2,8,,0,0,6374,679,11943,1378,0,5251,25625
AUSTRIA,"$55,000 and less than $100,000",QLD,Medium,13,3%,,0,0,3,1,4,2,0,3,13,,0,0,10736,1144,20114,2321,0,8844,43159
AUSTRIA,"$10,000 and less than $55,000",QLD,Small,13,3%,,0,0,3,1,4,2,0,4,14,,0,0,699,159,1856,325,0,1045,4084
AUSTRIA,"Less than $10,000",QLD,Small,22,5%,,1,0,4,1,6,3,1,6,22,,420,0,1209,275,3209,561,116,1807,7597
AUSTRIA,$100m or more,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$50m and less than $100m,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$10m and less than $50m,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$1m and less than $10m,SA,Large,2,0%,,0,0,1,0,1,0,0,0,2,,0,0,4499771,0,3418901,0,0,0,7918672
AUSTRIA,"$875,000 and less than $1m",SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$750,000 and less than $875,000",SA,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$500,000 and less than $750,000",SA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$250,000 and less than $500,000",SA,Medium,1,0%,,0,0,1,0,1,0,0,0,2,,0,0,13526,0,29166,0,0,0,42692
AUSTRIA,"$100,000 and less than $250,000",SA,Medium,3,1%,,0,0,1,0,1,0,0,1,3,,0,0,23261,0,50156,0,0,10666,84084
AUSTRIA,"$55,000 and less than $100,000",SA,Medium,4,1%,,0,0,2,0,1,0,0,1,4,,0,0,39178,0,84477,0,0,17965,141619
